,Enumerator Name,Geo_location,District,well_type,sw_bk_well_no,bk_dw_no,well_no_sw_bardiya,well_no_dw_bardiya,measurement_point_cm,Measurement_of_tape_ent_point_MP_in_m,wet_point_measruement_on_tape,gw_level,Notes,today,Audio_Notes,well_no,Month
111,yogendra,"[28.1222988, 81.5166218]",Banke,dt,bk-dw-03,,,,42,13.0,1.55,11.03,,2021-03-02,,bk-dw-03,Mar
112,yogendra,"[28.0959921, 81.521179]",Banke,dt,bk-dw-02,,,,25,15.0,3.65,11.1,,2021-03-02,,bk-dw-02,Mar
113,yogendra,"[28.0818033, 81.5465529]",Banke,dt,bk-dw-01,,,,37,13.0,1.65,10.98,,2021-03-02,,bk-dw-01,Mar
114,yogendra,"[28.0494204, 81.6616308]",Banke,sw,,bk-sw-08_1,,,36,8.0,1.65,5.99,,2021-03-03,,bk-sw-08_1,Mar
115,yogendra,"[28.0285545, 81.6946709]",Banke,sw,,bk-sw-30,,,55,6.0,1.3,4.15,,2021-03-03,,bk-sw-30,Mar
116,yogendra,"[27.9834125, 81.7133541]",Banke,sw,,bk-sw-10_1,,,70,5.0,1.33,2.97,,2021-03-03,,bk-sw-10_1,Mar
117,yogendra,"[28.0243004, 81.6002834]",Banke,sw,,bk-sw-11_1,,,50,7.0,1.6,4.9,,2021-03-30,,bk-sw-11_1,Mar
118,yogendra,"[28.0150979, 81.6543421]",Banke,sw,,bk-sw-09_1,,,60,5.0,1.8,2.6,,2021-03-30,,bk-sw-09_1,Mar
119,yogendra,"[28.002087, 81.652334]",Banke,sw,,bk-sw-29,,,40,7.0,2.05,4.55,,2021-03-30,,bk-sw-29,Mar
120,yogendra,"[28.0285641, 81.6947339]",Banke,sw,,bk-sw-30,,,55,6.0,1.15,4.3,,2021-04-01,,bk-sw-30,Apr
121,yogendra,"[27.98343, 81.713307]",Banke,sw,,bk-sw-10_1,,,70,5.0,1.23,3.07,,2021-04-01,,bk-sw-10_1,Apr
122,yogendra,"[28.0493765, 81.6617097]",Banke,sw,,bk-sw-08_1,,,36,8.0,1.5,6.14,,2021-04-01,,bk-sw-08_1,Apr
123,yogendra,"[28.1960804, 81.7117424]",Banke,sw,,bk-sw-01,,,20,5.0,1.34,3.46,,2021-04-02,,bk-sw-01,Apr
124,yogendra,"[28.206532, 81.6306905]",Banke,sw,,bk-sw-03,,,40,9.0,1.75,6.85,,2021-04-02,,bk-sw-03,Apr
125,yogendra,"[28.1920742, 81.5747772]",Banke,sw,,bk-sw-05_1,,,29,5.0,1.6,3.11,,2021-04-02,,bk-sw-05_1,Apr
126,yogendra,"[28.1873992, 81.6299874]",Banke,sw,,bk-sw-04,,,65,5.0,2.07,2.28,,2021-04-02,,bk-sw-04,Apr
