,Unnamed: 0,Enumerator Name,Geo_location,District,well_type,sw_bk_well_no,bk_dw_no,well_no_sw_bardiya,well_no_dw_bardiya,measurement_point_cm,Measurement_of_tape_ent_point_MP_in_m,wet_point_measruement_on_tape,gw_level,Notes,today,Audio_Notes,well_no,Month,S.No.,Well No.,Location,Longitude,Latitude,district
64,217,yogendra,"[28.1287363, 81.5894038]",Banke,sw,,bk-sw-17_1,,,15,6.0,1.78,4.07,,2021-05-31,,bk-sw-17_1,May,17,1-045/46(BK)17 ,D-gaon,81.5894281,28.1287151,Banke
65,267,yogendra,"[28.1287189, 81.589423]",Banke,sw,,bk-sw-17_1,,,15,5.0,2.33,2.52,,2021-06-28,,bk-sw-17_1,Jun,17,1-045/46(BK)17 ,D-gaon,81.5894281,28.1287151,Banke
66,12,yogendra,"[28.1132041, 81.5172749]",Banke,dt,bk-dw-04_1,,,,49,15.0,3.45,11.06,,2021-04-07,,bk-dw-04_1,Apr,4,SP-13,Gaughat,81.5173035,28.1132361,Banke
67,44,yogendra,"[28.1132361, 81.5173035]",Banke,dt,bk-dw-04_1,,,,49,15.0,3.7,10.81,,2021-02-05,,bk-dw-04_1,Feb,4,SP-13,Gaughat,81.5173035,28.1132361,Banke
68,110,yogendra,"[28.1132621, 81.5173494]",Banke,dt,bk-dw-04_1,,,,49,15.0,3.6,10.91,,2021-03-02,,bk-dw-04_1,Mar,4,SP-13,Gaughat,81.5173035,28.1132361,Banke
69,174,yogendra,"[28.1132901, 81.5172898]",Banke,dt,bk-dw-04_1,,,,49,15.0,3.35,11.16,,2021-04-30,,bk-dw-04_1,Apr,4,SP-13,Gaughat,81.5173035,28.1132361,Banke
70,222,yogendra,"[28.1132507, 81.5173521]",Banke,dt,bk-dw-04_1,,,,49,10.0,2.25,7.26,,2021-06-03,,bk-dw-04_1,Jun,4,SP-13,Gaughat,81.5173035,28.1132361,Banke
71,260,yogendra,"[28.1132491, 81.5173495]",Banke,dt,bk-dw-04_1,,,,49,11.0,3.2,7.31,,2021-06-27,,bk-dw-04_1,Jun,4,SP-13,Gaughat,81.5173035,28.1132361,Banke
72,13,yogendra,"[28.1114016, 81.521705]",Banke,sw,,bk-sw-19_1,,,23,7.0,1.15,5.62,,2021-04-07,,bk-sw-19_1,Apr,19,1-045/46(BK)19 ,Gaughat,81.5216935,28.1114479,Banke
73,25,yogendra,"[28.1114479, 81.5216935]",Banke,sw,,bk-sw-19_1,,,23,7.0,2.05,4.72,,2021-01-27,,bk-sw-19_1,Jan,19,1-045/46(BK)19 ,Gaughat,81.5216935,28.1114479,Banke
74,109,yogendra,"[28.1114455, 81.5216505]",Banke,sw,,bk-sw-19_1,,,23,7.0,1.5,5.27,,2021-03-02,,bk-sw-19_1,Mar,19,1-045/46(BK)19 ,Gaughat,81.5216935,28.1114479,Banke
75,172,yogendra,"[28.1114846, 81.521617]",Banke,sw,,bk-sw-19_1,,,23,8.0,1.95,5.82,,2021-04-30,,bk-sw-19_1,Apr,19,1-045/46(BK)19 ,Gaughat,81.5216935,28.1114479,Banke
76,221,yogendra,"[28.111471, 81.5216667]",Banke,sw,,bk-sw-19_1,,,23,8.0,2.1,5.67,,2021-06-03,,bk-sw-19_1,Jun,19,1-045/46(BK)19 ,Gaughat,81.5216935,28.1114479,Banke
77,259,yogendra,"[28.1115143, 81.5216446]",Banke,sw,,bk-sw-19_1,,,23,7.0,1.35,5.42,,2021-06-27,,bk-sw-19_1,Jun,19,1-045/46(BK)19 ,Gaughat,81.5216935,28.1114479,Banke
78,15,yogendra,"[28.0508057, 81.5862265]",Banke,sw,,bk-sw-28,,,55,7.0,1.5,4.95,,2021-04-07,,bk-sw-28,Apr,28,,Jaogagaun,81.5861794,28.0507443,Banke
79,33,yogendra,"[28.0507443, 81.5861794]",Banke,sw,,bk-sw-28,,,55,6.0,1.15,4.3,,2021-01-31,,bk-sw-28,Jan,28,,Jaogagaun,81.5861794,28.0507443,Banke
80,97,yogendra,"[28.0507648, 81.5861597]",Banke,sw,,bk-sw-28,,,55,7.0,1.85,4.6,,2021-02-24,,bk-sw-28,Feb,28,,Jaogagaun,81.5861794,28.0507443,Banke
